Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months"
1490,117,779,1134,57,87,290227,70421,116091,24733,5462,1649
974,69,404,689,23,46,305976,94312,122390,26838,6121,1789
1164,84,527,845,12,48,310775,60087,124310,25902,5572,1727
2001,230,755,1378,91,160,636854,130505,254742,53360,11552,3557
1725,156,643,1184,71,114,469070,106095,187628,39681,8688,2645
476,68,178,327,22,45,142627,37819,57051,12277,2742,818
10697,1257,3634,7165,546,902,3331376,632032,1332550,277202,59513,18480
6977,957,2567,4772,416,687,2761090,532669,1104436,230084,49485,15339
8133,1079,2738,5436,420,749,2324172,541967,929669,197232,43344,13149
911,95,321,616,49,72,376936,70983,150774,31344,6724,2090
2524,209,710,1617,92,151,876231,194509,350492,73985,16164,4932
4684,661,1737,3211,278,469,2215589,412976,886236,184078,39447,12272
2249,293,690,1470,82,188,986702,192737,394681,82313,17727,5488
941,122,387,664,52,87,436975,52585,174790,35208,7259,2347
615,28,238,426,7,17,138550,32449,55420,11763,2586,784
3560,375,1124,2342,160,267,1670043,272076,668017,137262,29026,9151
878,46,343,610,20,33,173590,37388,69436,14614,3181,974
1329,99,559,944,50,75,466917,99775,186767,39277,8543,2618
786,109,284,535,58,83,276179,64591,110472,23444,5154,1563
1886,406,660,1273,128,267,605953,127753,242381,50907,11056,3394
4478,465,1488,2983,144,305,1409076,264187,563630,117129,25116,7809
814,83,275,544,35,59,338732,65551,135493,28235,6074,1882
2189,272,593,1391,113,192,569741,127897,227896,48160,10536,3211
1835,240,594,1215,90,165,320367,71522,128147,27066,5917,1804
3766,289,827,2297,87,188,1036499,211611,414600,86815,18787,5788
1320,199,613,966,96,147,552131,118035,220852,46447,10103,3096
733,74,229,481,16,45,221920,45706,88768,18603,4030,1240
2781,324,858,1819,97,211,556198,117512,222479,46736,10153,3116
4381,616,1315,2848,224,420,2076640,403030,830656,173140,37261,11543
2396,208,962,1679,63,136,489824,124235,195930,41948,9316,2797
487,64,154,321,10,37,255161,50897,102064,21326,4603,1422
740,70,290,515,37,54,303247,51843,121299,25017,5315,1668
598,59,187,392,26,43,371513,100254,148605,32045,7174,2136
3999,526,1804,2902,277,402,1552687,249737,621075,127494,26929,8500
584,35,323,454,17,26,126084,26085,50434,10574,2292,705
6234,747,2477,4356,216,482,2191766,376149,876706,180868,38439,12058
5691,690,2125,3908,231,460,2406889,366977,962756,196869,41379,13125
6178,802,1949,4064,358,580,3005567,497077,1202227,247312,52373,16487
3776,439,1139,2458,203,321,1272753,236390,509101,105712,22645,7047
2547,341,916,1731,146,244,1456607,234573,582643,119616,25267,7974
390,54,202,296,33,44,213703,46965,85481,18026,3934,1202
1555,198,452,1003,88,143,666874,128195,266750,55554,11944,3704
858,82,246,552,35,59,359828,67153,143931,29899,6408,1993
359,22,169,264,6,14,229413,39590,91765,18940,4027,1263
1272,93,306,789,45,69,402885,88435,161154,33980,7414,2265
1309,159,604,957,77,118,374960,156791,149984,34455,8244,2297
2050,163,650,1350,55,109,701923,139656,280769,58653,12657,3910
591,62,215,403,28,45,153089,36987,61236,13040,2878,869
782,65,324,553,31,48,253817,63450,101527,21701,4810,1447
4700,651,1366,3033,209,430,2421217,421176,968487,200017,42565,13334
2468,283,1080,1774,111,197,531003,109269,212401,44508,9640,2967
